"Product name","Product code",Architecture,CPU,"CPU core count","CPU nominal frequency","License level","Operating system","Size of RAM","Storage size",Dimensions,"PoE in","PoE out","PoE out ports","PoE in input Voltage","Number of DC inputs","DC jack input Voltage","Max power consumption","Wireless 2.4 GHz number of chains","Antenna gain dBi for 2.4 GHz","Wireless 5 GHz number of chains","Antenna gain dBi for 5 GHz","10/100 Ethernet ports","10/100/1000 Ethernet ports","Number of 2.5G Ethernet ports","Number of USB ports","Ethernet Combo ports","SFP ports","SFP+ ports","Number of 1G/2.5G/5G/10G Ethernet ports","Number of SIM slots","Memory cards","USB slot type","MSRP (USD)"
"hAP lite TC",RB941-2nD-TC,SMIPS,QCA9533,1,"650 MHz",4,RouterOS,"32 MB","16 MB",,,,,,1,,"3.5 W",2,1.5,,,4,,,,,,,,,,,24.95
hEX,RB750Gr3,MMIPS,MT7621A,2,"880 MHz",4,RouterOS,"256 MB","16 MB",113x89x28mm,"Passive PoE",,,"8-30 V",2,"8-30 V","10 W",,,,,,5,,1,,,,,,1,"USB type A",59.95
"hEX lite",RB750r2,MIPSBE,QCA9533,1,"850 MHz",4,RouterOS,"64 MB","16 MB","113x89x28mm. Weight without packaging and cables: 129g","Passive PoE",,,"6-30 V",2,"6-30 V","2 W",,,,,5,,,,,,,,,,,39.95
"hEX PoE",RB960PGS,MIPSBE,QCA9557,1,"800 MHz",4,RouterOS,"128 MB","16 MB",,"Passive PoE",802.3af/at,Ether2-Ether5,"12-57 V",2,"12-57 V","54 W",,,,,,5,,1,,1,,,,,"USB type A",89.00
"hEX PoE lite",RB750UPr2,MIPSBE,QCA9531,1,"650 MHz",4,RouterOS,"64 MB","16 MB",113x89x28mm,"Passive PoE","Passive PoE",Ether2-Ether5,"8-30 V",2,"8-30 V","51 W",,,,,5,,,1,,,,,,,"USB type A",59.95
"hEX refresh",E50UG,"ARM 32bit",EN7562CT,2,"950 MHz",4,"RouterOS v7","512 MB","128 MB",113x89x28mm,"Passive PoE",,,"12-28 V",2,"12-28 V","10 W",,,,,,5,,1,,,,,,,"USB type A",59.95
"hEX S",RB760iGS,MMIPS,MT7621A,2,"880 MHz",4,RouterOS,"256 MB","16 MB","113 x 89 x 28 mm",802.3af/at,"Passive PoE up to 57V",Ether5,"12-57 V",2,"12-57 V","24 W",,,,,,5,,1,,1,,,,1,"USB type A",79.00
"hEX S (2025)",E60iUGS,"ARM 32bit",EN7562CT,2,"950 MHz",4,"RouterOS v7","512 MB","128 MB",,802.3af/at,"Passive PoE up to 57V",Ether5,"18-57 V",2,"12-57 V","23 W",,,,,,5,,1,,"1 (2.5G supported)",,,,,"USB 3.0 type A",69.00
KNOT,RB924i-2nD-BT5&BG77r2,MIPSBE,QCA9531,1,"650 MHz",4,"RouterOS v7","64 MB","128 MB","122 x 87 x 26 mm",802.3af/at,"Passive PoE up to 57V",Ether2,"18-57 V",3,"12-57 V","18 W",2,1.5,,,2,,,1,,,,,1,,"microUSB type AB",99.00
"KNOT Embedded LTE4",EC25-EU&KNe,"ARM 32bit","CPU ARM 32-bit Cortex A7",1,"800 MHz",3,"RouterOS v7","256 MB","512 MB",,802.3af/at,,,"12-57 V",2,,"7 W",,,,,,1,,,,,,,1,,,79.00
"KNOT Embedded LTE4 Global",EG25-G&KNe,"ARM 32bit",Unknown,1,"800 MHz",3,"RouterOS v7","256 MB","256 MB",,802.3af/at,,,"12-57 V",2,,"6 W",,,,,,1,,,,,,,1,,,89.00
"KNOT LR8G kit",RB924iR-2nD-BT5&BG770A&R11e-LR8G,MIPSBE,QCA9531,1,"650 MHz",4,"RouterOS v7","64 MB","128 MB",,802.3af/at,"Passive PoE",Ether2,"18-57 V",3,"12-57 V","23 W",2,1.5,,,2,,,1,,,,,1,,"microUSB type AB",179.00
"KNOT LR9G kit",RB924iR-2nD-BT5&BG770A&R11e-LR9G,MIPSBE,QCA9531,1,"650 MHz",4,"RouterOS v7","64 MB","128 MB",,802.3af/at,802.3af,Ether2,"18-57 V",3,"12-57 V","23 W",2,1.5,,,2,,,1,,,,,1,,"microUSB type AB",179.00
L009UiGS-2HaxD-IN,L009UiGS-2HaxD-IN,"ARM 32bit",IPQ-5018,2,"800 MHz",5,"RouterOS v7","512 MB","128 MB",,802.3af/at,"Passive PoE",Ether8,"24-56 V",2,"24-56 V","47 W",2,4,,,,8,,1,,"1 (2.5G supported)",,,,,"USB 3.0 type A",129.00
L009UiGS-RM,L009UiGS-RM,"ARM 32bit",IPQ-5018,2,"800 MHz",5,"RouterOS v7","512 MB","128 MB",,802.3af/at,"Passive PoE",Ether8,"24-56 V",2,"24-56 V","40 W",,,,,,8,,1,,"1 (2.5G supported)",,,,,"USB 3.0 type A",119.00
L11UG-5HaxD,L11UG-5HaxD,"ARM 32bit",IPQ-5010,2,"800 MHz",4,"RouterOS v7","256 MB","128 MB",,"Passive PoE",,,"18-28 V",2,"12-28 V","15 W",,,2,,,1,,1,,,,,,,"USB type A",79.00
L23UGSR-5HaxD2HaxD,L23UGSR-5HaxD2HaxD,"ARM 32bit",IPQ-5010,2,"800 MHz",4,"RouterOS v7","256 MB","128 MB",,"Passive PoE",,,"18-28 V",2,"12-28 V","25 W",2,,2,,,1,,1,,"1 (2.5G supported)",,,1,,"USB type A",99.00
"LDF 5",RBLDF-5nD,MIPSBE,AR9344,1,"600 MHz",3,RouterOS,"64 MB","16 MB",84x84x115mm,"Passive PoE",,,"10-30 V",1,,"6 W",,,2,9,1,,,,,,,,,,,49.00
"LHG 5",RBLHG-5nD,MIPSBE,AR9344,1,"600 MHz",3,RouterOS,"64 MB","16 MB","Ø 391 x 222 mm; package 450 x 450 x 145 mm","Passive PoE",,,"11-30 V",1,,"6 W",,,2,24.5,1,,,,,,,,,,,69.00
"LHG 5 ax",LHG-5axD,"ARM 32bit",IPQ-5010,2,"800 MHz",3,"RouterOS v7","256 MB","128 MB",,"Passive PoE",,,"12-28 V",1,,"5 W",,,2,24.5,,1,,,,,,,,,,99.00
"LHG 60G",RBLHGG-60adr2,"ARM 32bit",IPQ-4019,4,"448-896 (auto) MHz",3,RouterOS,"256 MB","16 MB",,802.3af/at,,,"12-57 V",1,,"5 W",,,,,,1,,,,,,,,,,149.00
"LHGG LTE7 kit",LHGGR&R11e-LTE7,"ARM 64bit",88F3720,2,"800 MHz",3,"RouterOS v7","256 MB","16 MB",,802.3af/at,,,"12-57 V",1,,"8 W",,,,,,1,,,,,,,1,,,169.00
"LHG LTE18 kit",LHGGM&EG18-EA,"ARM 64bit",88F3720,2,"800 MHz",3,"RouterOS v7","256 MB","16 MB",,802.3af/at,,,"12-57 V",1,,"8 W",,,,,,1,,,,,,,1,,,279.00
"LHG XL 5 ac",RBLHGG-5acD-XL,"ARM 32bit",IPQ-4018,4,"488-896 (auto) MHz",3,RouterOS,"256 MB","16 MB","Ø 550 x 245 mm;","Passive PoE",,,"10-30 V",1,,"8 W",,,2,27,,1,,,,,,,,,,117.00
"LHG XL 5 ax",LHG-5axD-XL,"ARM 32bit",IPQ-5010,2,"800 MHz",3,"RouterOS v7","256 MB","128 MB",,"Passive PoE",,,"12-28 V",1,,"5 W",,,2,27,,1,,,,,,,,,,119.00
"LHG XL HP5",RBLHG-5HPnD-XL,MIPSBE,AR9344,1,"600 MHz",3,RouterOS,"64 MB","16 MB","Ø 550 x 245 mm;","Passive PoE",,,"10-28 V",1,,"7 W",,,2,27,1,,,,,,,,,,,89.00
"LtAP mini",RB912R-2nD-LTm,MIPSBE,QCA9531,1,"650 MHz",4,RouterOS,"64 MB","16 MB","139 x 77 x 28,5 mm",802.3af/at,,,"12-57 V",3,"8-30 V","9 W",2,1.5,,,1,,,,,,,,2,,,99.00
"LtAP mini LTE kit",RB912R-2nD-LTm&EC200A-EUr3,MIPSBE,QCA9531,1,"650 MHz",4,"RouterOS v7","64 MB","16 MB",,802.3af/at,,,"12-57 V",3,"8-30 V","8 W",2,1.5,,,1,,,,,,,,2,,,99.00
"mANTBox 2 12s",RB911G-2HPnD-12Sr2,MIPSBE,AR9342,1,"600 MHz",4,RouterOS,"64 MB","128 MB","140 x 348 x 82 mm","Passive PoE",,,"10-28 V",2,"8-30 V","11 W",2,12,,,,1,,,,,,,,,,99.00
"mANTBox ax 15s",L22UGS-5HaxD2HaxD-15S,"ARM 32bit",IPQ-5010,2,"800 MHz",4,"RouterOS v7","256 MB","128 MB",,"Passive PoE",,,"18-28 V",2,"12-28 V","21 W",2,12,2,15,,1,,1,,"1 (2.5G supported)",,,,,"USB type A",179.00
mAP,RBmAP2nD,MIPSBE,QCA9531,1,"650 MHz",4,RouterOS,"64 MB","16 MB",68x68x19mm,802.3af/at,"Passive PoE",Ether2,"12-57 V",3,"8-57 V","5 W",2,1.2,,,2,,,1,,,,,,,"microUSB type AB",45.00
"mAP lite",RBmAPL-2nD,MIPSBE,QCA9533,1,"650 MHz",4,RouterOS,"64 MB","16 MB",48x49x11mm,802.3af/at,,,"10-60 V",2,,"3.5 W",2,1.5,,,1,,,,,,,,,,,30.00
"Metal 52 ac",RBMetalG-52SHPacn,MIPSBE,QCA9556,1,"720 MHz",4,RouterOS,"64 MB","16 MB",215x60x38mm,"Passive PoE",,,"10-30 V",1,,"11 W",1,6,1,6,,1,,,,,,,,,,119.00
"NetBox 5 ax",L11UG-5HaxD-NB,"ARM 32bit",IPQ-5010,2,"800 MHz",4,"RouterOS v7","256 MB","128 MB",,"Passive PoE",,,"18-28 V",1,,"15 W",,,2,,,1,,1,,,,,,,"USB type A",109.00
"netFiber 9",CRS310-1G-5S-4S+OUT,"ARM 32bit",98DX226S,2,"800 MHz",5,"RouterOS v7 / SwitchOS","256 MB","16 MB",,802.3af/at,,,"18-57 V",2,"18-57 V","17 W",,,,,,1,,,,5,4,,,,,249.00
"NetMetal 5",RB922UAGS-5HPacD-NM,MIPSBE,QCA9557,1,"720 MHz",4,RouterOS,"128 MB","128 MB","143x247x48mm (PCB)","Passive PoE",,,"8-30 V",1,,"19 W",,,2,,,1,,1,,1,,,1,,"USB type A",149.00
"NetMetal ax",L23UGSR-5HaxD2HaxD-NM,"ARM 32bit",IPQ-5010,2,"800 MHz",4,"RouterOS v7","256 MB","128 MB",,"Passive PoE",,,"18-28 V",2,"12-28 V","25 W",2,,2,,,1,,1,,"1 (2.5G supported)",,,1,,"USB type A",169.00
"netPower 15FR",CRS318-1Fi-15Fr-2S-OUT,"ARM 32bit",98DX224S,2,"800 MHz",5,"RouterOS / SwitchOS","256 MB","16 MB","304 x 212 x 71 mm","Passive PoE","Passive PoE",Ether15,"18-57 V (recommended 36-57V)",16,"18-57 V","29 W",,,,,16,,,,,2,,,,,,169.00
"netPower 16P",CRS318-16P-2S+OUT,"ARM 32bit",98DX226S,2,"800 MHz",5,"RouterOS / SwitchOS","256 MB","16 MB","303 x 212 x 78 mm",,802.3af/at,Ether1-Ether16,,2,"18-30 V / 48-57 V","316 W",,,,,,16,,,,,2,,,,,279.00
"OmniTIK 5 PoE ac",RBOmniTikPG-5HacD,MIPSBE,QCA9557,1,"720 MHz",4,RouterOS,"128 MB","16 MB","416 x 129 x 58 mm","Passive PoE",802.3af/at,Ether2-Ether5,"12-57 V",1,,"66 W",,,2,7.5,,5,,1,,,,,,,"USB type A",139.00
"PowerBox Pro",RB960PGS-PB,MIPSBE,QCA9557,1,"800 MHz",4,RouterOS,"128 MB","16 MB","125 x 52 x 225 mm","Passive PoE",802.3af/at,Ether2-Ether5,"12-57 V",2,"12-57 V","54 W",,,,,,5,,,,1,,,,,,109.00
"QRT 5",RB911G-5HPnD-QRT,MIPSBE,AR9342,1,"600 MHz",4,RouterOS,"64 MB","128 MB",309x320x50mm,"Passive PoE",,,"8-28 V",1,,"12 W",,,2,24,,1,,,,,,,,,,169.00
RB450Gx4,RB450Gx4,"ARM 32bit",IPQ-4019,4,"448-896 (auto) MHz",5,RouterOS,"1 GB","512 MB","90 x 116 mm",802.3af/at,"Passive PoE",Ether5,"12-57 V",3,"10-57 V","16 W",,,,,,5,,,,,,,,,,99.00
RB911G-5HPnD,RB911G-5HPnD,MIPSBE,AR9342,1,"600 MHz",3,RouterOS,"64 MB","128 MB",105x105mm,"Passive PoE",,,"8-28 V",2,"8-28 V","11 W",,,2,,,1,,,,,,,,,,55.00
RB912UAG-2HPnD,RB912UAG-2HPnD,MIPSBE,AR9342,1,"600 MHz",4,RouterOS,"64 MB","128 MB",105x105mm,"Passive PoE",,,"8-30 V",2,"8-30 V","13.5 W",2,,,,,1,,1,,,,,1,,"USB type A",79.00
RB912UAG-5HPnD,RB912UAG-5HPnD,MIPSBE,AR9342,1,"600 MHz",4,RouterOS,"64 MB","128 MB",105x105mm,"Passive PoE",,,"8-30 V",2,"8-30 V","12 W",,,2,,,1,,1,,,,,1,,"USB type A",79.00
RB922UAGS-5HPacD,RB922UAGS-5HPacD,MIPSBE,QCA9557,1,"720 MHz",4,RouterOS,"128 MB","128 MB",105x105mm,"Passive PoE",,,"8-30 V",2,"8-30 V","17 W",,,2,,,1,,1,,1,,,1,,"USB type A",99.00
RB951Ui-2HnD,RB951Ui-2HnD,MIPSBE,AR9344,1,"600 MHz",4,RouterOS,"128 MB","128 MB",113x138x29mm,"Passive PoE","Passive PoE",Ether5,"8-30 V",2,"8-30 V","24 W",2,2.5,,,5,,,1,,,,,,,"USB type A",59.95
RB1100AHx4,RB1100x4,"ARM 32bit",AL21400,4,"1.4 GHz",6,RouterOS,"1 GB","128 MB","443 x 148 x 44 mm",802.3af/at,,,"20-57 V",2,,"20 W",,,,,,13,,,,,,,,1,,329.00
"RB1100AHx4 Dude Edition",RB1100Dx4,"ARM 32bit",AL21400,4,"1.4 GHz",6,RouterOS,"1 GB","128 MB","443 x 148 x 44 mm",802.3af/at,,,"20-57 V",2,,"33 W",,,,,,13,,,,,,,,1,,385.00
RB4011iGS+5HacQ2HnD-IN,RB4011iGS+5HacQ2HnD-IN,"ARM 32bit",AL21400,4,"auto (533 - 1900) MHz",5,"RouterOS v7","1 GB","512 MB","228 x 120 x 30 mm","Passive PoE","Passive PoE up to 57V",Ether10,"18-57 V",2,"12-57 V","44 W",2,3,4,3,,10,,,,,1,,,,,275.00
RB4011iGS+RM,RB4011iGS+RM,"ARM 32bit",AL21400,4,"auto (533 - 1900) MHz",5,"RouterOS v7","1 GB","512 MB","228 x 120 x 30 mm","Passive PoE","Passive PoE up to 57V",Ether10,"18-57 V",2,"12-57 V","33 W",,,,,,10,,,,,1,,,,,219.00
RB5009UG+S+IN,RB5009UG+S+IN,"ARM 64bit",88F7040,4,"350-1400 (auto) MHz",5,"RouterOS v7","1 GB","1 GB","220 x 125 x 22 mm",802.3af/at,,,"24-57 V",3,"24-57 V","25 W",,,,,,7,1,1,,,1,,,,"USB 3.0 type A",219.00
RB5009UPr+S+IN,RB5009UPr+S+IN,"ARM 64bit",88F7040,4,"350-1400 (auto) MHz",5,"RouterOS v7","1 GB","1 GB",,"802.3af/at (ether1), Mode B (ether2-ether8)",802.3af/at,Ether1-Ether8,"24-57 V",3,"24-57 V","150 W",,,,,,7,1,1,,,1,,,,"USB 3.0 type A",299.00
RB5009UPr+S+OUT,RB5009UPr+S+OUT,"ARM 64bit",88F7040,4,"350-1400 (auto) MHz",5,"RouterOS v7","1 GB","1 GB",,802.3af/at,802.3af/at,Ether1-Ether8,"24-57 V",2,,"150 W",,,,,,7,1,1,,,1,,,,"USB 3.0 type A",319.00
RBM33G,RBM33G,MMIPS,MT7621A,2,"880 MHz",4,RouterOS,"256 MB","16 MB",,"Passive PoE",,,"11-28 V",2,"11-28 V","24 W",,,,,,3,,1,,,,,2,,"USB 3.0 type A",59.00
"ROSE Data server (RDS)",RDS2216-2XG-4S+4XS-2XQ,"ARM 64bit",AL73400,16,"2000 MHz",6,"RouterOS v7 (Special ROSE edition)","32 GB","128 MB","476 x 443 x 44 mm",,,,,,,"286 W",,,,,,1,,2,,,4,2,,,"USB 3.0 type A",1950.00
"SXT SA5 ac",RBSXTG-5HPacD-SAr2,MIPSBE,QCA9557,1,"720 MHz",4,RouterOS,"128 MB","128 MB",,802.3af/at,,,"12-57 V",1,,"12 W",,,2,14,,1,,1,,,,,,,"USB type A",119.00
"SXTsq 5 ac",RBSXTsqG-5acD,"ARM 32bit",IPQ-4018,4,"488-896 (auto) MHz",3,RouterOS,"256 MB","16 MB","129 x 129 x 34 mm","Passive PoE",,,"10-28 V",1,,"7 W",,,2,16,,1,,,,,,,,,,65.00
"SXTsq 5 ax",SXTsq-5axD,"ARM 32bit",IPQ-5010,2,"800 MHz",4,"RouterOS v7","256 MB","128 MB",,"Passive PoE",,,"12-28 V",1,,"6 W",,,2,16,,1,,,,,,,,,,65.00
"SXTsq Lite2",RBSXTsq2nD,MIPSBE,QCA9533,1,"650 MHz",3,RouterOS,"64 MB","16 MB","129 x 129 x 34 mm","Passive PoE",,,"10-30 V",1,,"5 W",2,10,,,1,,,,,,,,,,,39.00
"SXTsq Lite5",RBSXTsq5nD,MIPSBE,AR9344,1,"600 MHz",3,RouterOS,"64 MB","16 MB",129x129x34mm,"Passive PoE",,,"10-30 V",1,,"6 W",,,2,16,1,,,,,,,,,,,46.00
"wAP 60G",RBwAPG-60ad,"ARM 32bit",IPQ-4019,4,"448-896 (auto) MHz",3,RouterOS,"256 MB","16 MB","185 x 85 x 30 mm",802.3af/at,,,"12-57 V",2,"12-57 V","5 W",,,,,,1,,,,,,,,,,114.00
"wAP 60G AP",RBwAPG-60ad-A,"ARM 32bit",IPQ-4019,4,"448-896 (auto) MHz",4,RouterOS,"256 MB","16 MB","185 x 85 x 30 mm",802.3af/at,,,"11-57 V",2,"11-57 V","5 W",,,,,,1,,,,,,,,,,139.00
"wAP ac LTE kit",wAPGR-5HacD2HnD&EC200A-EUr3,"ARM 32bit",IPQ-4018,4,"488-896 (auto) MHz",4,"RouterOS v7","128 MB","16 MB",,802.3af/at,,,"18-57 V",2,"10-57 V","12 W",2,2.5,2,2.5,,2,,,,,,,1,,,169.00
"wAP ax",wAPG-5HaxD2HaxD,"ARM 32bit",IPQ-5010,2,"800 MHz",4,"RouterOS v7","256 MB","128 MB",,802.3af/at,,,"18-57 V",2,"12-57 V","9 W",2,6.9,2,7,,2,,,,,,,,,,89.00
"wAP ax LTE7 kit",wAPGR-5HaxD2HaxD&R11e-LTE7,"ARM 64bit",IPQ-5010,2,"800 MHz",4,"RouterOS v7","256 MB","128 MB",,802.3af/at,,,"18-57 V",2,"12-57 V","13 W",2,6.9,2,7,,2,,,,,,,1,,,169.00
"wAP LR8G kit",RBwAPR-2nD&R11e-LR8G,MIPSBE,QCA9531,1,"650 MHz",4,"RouterOS v7","64 MB","16 MB",,"Passive PoE",,,"9-30 V",3,"9-30 V","5 W",2,2,,,1,,,,,,,,1,,,149.00
"wAP LR9G kit",RBwAPR-2nD&R11e-LR9G,MIPSBE,QCA9531,1,"650 MHz",4,"RouterOS v7","64 MB","16 MB",,"Passive PoE",,,"9-28 V",3,"9-28 V","7 W",2,2,,,1,,,,,,,,1,,,149.00
"wAP LTE kit",wAPR-2nD&EC200A-EUr2,MIPSBE,QCA9531,1,"650 MHz",4,"RouterOS v7","64 MB","16 MB",,"Passive PoE",,,"9-30 V",3,"9-30 V","7 W",2,2,,,1,,,,,,,,1,,,99.00
"wAP R",RBwAPR-2nD,MIPSBE,QCA9531,1,"650 MHz",4,RouterOS,"64 MB","16 MB","185x85x30 mm","Passive PoE",,,"9-30 V",3,"9-30 V","6 W",2,2,,,1,,,,,,,,1,,,89.00
"Wireless Wire",RBwAPG-60adkit,"ARM 32bit",IPQ-4019,4,"448-896 (auto) MHz",3,RouterOS,"256 MB","16 MB","185 x 85 x 30 mm",802.3af/at,,,"12-57 V",2,"12-57 V","5 W",,,,,,1,,,,,,,,,,228.00
"Wireless Wire Cube Pro",CubeG-5ac60aypair,"ARM 32bit",IPQ-4019,4,"448-896 (auto) MHz",4,RouterOS,"256 MB","64 MB",,802.3af/at,,,"18-48 V",1,,"10 W",,,1,11.5,,1,,,,,,,,,,298.00
"Wireless Wire Dish",RBLHGG-60adkit,"ARM 32bit",IPQ-4019,4,"448-896 (auto) MHz",3,RouterOS,"256 MB","16 MB","Ø 391 x 222 mm",802.3af/at,,,"12-57 V",1,,"5 W",,,,,,1,,,,,,,,,,298.00
"Wireless Wire nRAY",nRAYG-60adpair,"ARM 64bit",88F3720,2,"1 GHz",3,RouterOS,"256 MB","16 MB","261 x 166 mm",802.3af/at,,,"12-57 V",1,,"7 W",,,,,,1,,,,,,,,,,298.00
